,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
4681098,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-21,-27.0,-1.0,-8.0,-41.0,-21.0,12.0,2020-05-21
4681099,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-22,-29.0,-2.0,-5.0,-41.0,-21.0,13.0,2020-05-22
4681100,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-23,-27.0,0.0,-8.0,-43.0,-20.0,11.0,2020-05-23
4681101,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-24,-27.0,-1.0,8.0,-42.0,-17.0,8.0,2020-05-24
4681102,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-25,-22.0,2.0,2.0,-35.0,-18.0,10.0,2020-05-25
4681103,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-26,-22.0,-1.0,-8.0,-36.0,-18.0,11.0,2020-05-26
4681104,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-27,-20.0,2.0,5.0,-35.0,-18.0,10.0,2020-05-27
4681105,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-28,-20.0,1.0,5.0,-34.0,-18.0,10.0,2020-05-28
4681106,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-29,-21.0,2.0,5.0,-34.0,-17.0,11.0,2020-05-29
4681107,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-30,-20.0,3.0,1.0,-34.0,-14.0,8.0,2020-05-30
4681108,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-31,-22.0,0.0,-16.0,-39.0,-14.0,7.0,2020-05-31
4681109,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-01,-21.0,-2.0,-13.0,-26.0,-11.0,8.0,2020-06-01
4681110,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-02,-16.0,2.0,5.0,-27.0,-13.0,8.0,2020-06-02
4681111,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-03,-19.0,1.0,5.0,-28.0,-13.0,8.0,2020-06-03
4681112,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-04,-18.0,2.0,2.0,-28.0,-13.0,8.0,2020-06-04
4681113,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-05,-18.0,1.0,1.0,-29.0,-15.0,9.0,2020-06-05
4681114,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-06,-17.0,1.0,-2.0,-31.0,-15.0,7.0,2020-06-06
4681115,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-07,-15.0,2.0,10.0,-32.0,-13.0,5.0,2020-06-07
